Depth_m,rmse_original_split,rmse_switched_split
0,2.8514361239281234,3.253037072778008
0.5,2.8369856146170602,3.177107597867354
1,2.9366234542785215,3.035586219238869
1.5,2.994014956816651,2.6825167762587374
2,2.4168425913323985,2.219748460051056
2.5,2.674973048600826,2.509105915856874
3,2.0988701148247064,2.038616253812799
3.5,1.813182145817907,1.6827551165405243
4,1.7594870665489983,1.477832624979928
4.5,1.665059864384552,1.2872878410818447
5,1.5706012080294591,1.2322743813074515
5.5,1.5606344941890307,1.2208199220598102
6,1.6259065517520417,1.229964014451375
6.5,1.7164105916888284,1.3732573364960978
7,1.7352506209278904,1.3172593497130678
7.5,1.7177351998889479,1.3265398092406284
8,1.4748084503119703,1.2022495791876546
8.5,1.4080649486162757,0.9283274782704334
