split_prop,rmse_on_test_set,split_percent
0.01,1.151089043382246,1
0.01,1.2696163271389604,1
0.01,1.155106602318851,1
0.01,1.2015655532376752,1
0.01,1.3184135070188263,1
0.05,1.1300662892027025,5
0.05,1.068998662507543,5
0.05,1.058491657429122,5
0.05,1.015273008505591,5
0.05,1.064067828216975,5
0.1,1.0033595795248302,10
0.1,0.9928762045170634,10
0.1,0.9546982226179027,10
0.1,1.0655574481979881,10
0.1,0.9617634009114983,10
0.25,0.9598946889532601,25
0.25,0.9288920879440787,25
0.25,0.9414073752210691,25
0.25,0.9696017193119694,25
0.25,0.9694696858539577,25
0.5,0.8901307272969781,50
0.5,0.945339487447595,50
0.5,0.9160821557252222,50
0.5,0.9486816553699561,50
0.5,0.9489852972431381,50
0.75,0.9046048555677504,75
0.75,0.9031012135987933,75
0.75,0.9033714615153858,75
0.75,0.9090620027870165,75
0.75,0.9184980680950686,75
0.9,0.9022737878427242,90
0.9,0.8866445739678067,90
0.9,0.9156727289049504,90
0.9,0.9041940366129428,90
0.9,0.9134755441068959,90
1,0.9029827477409206,100
