Depth,m2
0,34811089.72
0.3048,33892452.5
0.6096,33317798.38
0.9144,32795753.44
1.2192,32289895.94
1.524,31775944.72
1.8288,30185528.74
2.1336,29141438.86
2.4384,27923334
2.7432,26867103.54
3.048,25640904.96
3.3528,24742502.04
3.6576,23900755.16
3.9624,23192554.66
4.2672,22472213.58
4.572,21067953.16
4.8768,20153362.8
5.1816,19323756.5
5.4864,18647930.88
5.7912,18040901.88
6.096,17207248.72
6.4008,16304798.94
6.7056,15539942.4
7.0104,14803413.88
7.3152,14115447.68
7.62,13565074.72
7.9248,13059217.22
8.2296,12448141.36
8.5344,11748034.58
8.8392,11096490.12
9.144,10509695.42
9.4488,9951228.74
9.7536,9311824.86
10.0584,8546968.32
10.3632,7450269.26
10.668,6450694.84
10.9728,5264964.86
11.2776,4148031.5
11.5824,3160597.66
11.8872,2513100.06
12.192,2019383.14
12.4968,1541853.66
12.8016,748669.1
13.1064,230671.02
13.4112,125452.66
13.716,89030.92
14.0208,64749.76
14.3256,36421.74
14.6304,8093.72
14.9352,0
15.24,0
